全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,名称_英字,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,高度の種別,高度の値,設置位置,電話番号,内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,小児対応設備の有無,URL,画像1,画像1_ライセンス,画像2,画像2_ライセンス,外部利用不可,備考
122033,,市川市,市川市南消防署,ｲﾁｶﾜｼﾐﾅﾐｼｮｳﾎﾞｳｼｮ,,,,千葉県市川市行徳駅前4丁目6-19,千葉県,市川市,行徳駅前4丁目,6月19日,,35.67958484,139.9151399,,,1階受付,(047)397-0119,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,,,,,,
122033,,市川市,香取保育園,ｶﾝﾄﾞﾘﾎｲｸｴﾝ,,,,千葉県市川市香取2丁目6-25,千葉県,市川市,香取2丁目,6月25日,,35.67962661,139.9091528,,,玄関ホール,(047)357-4191,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,,,,,,
122033,,市川市,市川市南消防署広尾出張所,ｲﾁｶﾜｼﾐﾅﾐｼｮｳﾎﾞｳｼｮﾋﾛｵｼｭｯﾁｮｳｼﾞｮ,,,,千葉県市川市広尾2丁目2-12,千葉県,市川市,広尾2丁目,2月12日,,35.67976465,139.890571,,,1階受付,(047)306-0119,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,,,,,,
122033,,市川市,新浜小学校,ﾆｲﾊﾏｼｮｳｶﾞｯｺｳ,,,,千葉県市川市行徳駅前4丁目5-1,千葉県,市川市,行徳駅前4丁目,5月1日,,35.68002287,139.9163037,,,職員室前,(047)395-5331,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,,,,,,
122033,,市川市,南行徳公民館,ﾐﾅﾐｷﾞｮｳﾄｸｺｳﾐﾝｶﾝ,,,,千葉県市川市相之川1丁目3-7,千葉県,市川市,相之川1丁目,3月7日,,35.68023121,139.8991092,,,正面玄関,(047)356-7371,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,,,,,,
122033,,市川市,幸公民館,ｻｲﾜｲｺｳﾐﾝｶﾝ,,,,千葉県市川市幸1丁目16-18,千葉県,市川市,幸1丁目,16-18,,35.68033567,139.9278491,,,玄関,(047)398-0481,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,,,,,,
122033,,市川市,南行徳小学校,ﾐﾅﾐｷﾞｮｳﾄｸｼｮｳｶﾞｯｺｳ,,,,千葉県市川市欠真間1丁目6-38,千葉県,市川市,欠真間1丁目,6-38,,35.68048109,139.9013056,,,職員室前,(047)357-3126,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,,,,,,
122033,,市川市,南行徳図書館,ﾐﾅﾐｷﾞｮｳﾄｸﾄｼｮｶﾝ,,,,千葉県市川市相之川1丁目2-4,千葉県,市川市,相之川1丁目,2月4日,,35.68086077,139.8999034,,,1階カウンター内,(047)357-4188,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,,,,,,
122033,,市川市,幸小学校,ｻｲﾜｲｼｮｳｶﾞｯｺｳ,,,,千葉県市川市幸1丁目11-1,千葉県,市川市,幸1丁目,11月1日,,35.68102148,139.9298989,,,1階保健室前,(047)346-0770,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,,,,,,
122033,,市川市,市川市南行徳地域共生センター,ｲﾁｶﾜｼﾐﾅﾐｷﾞｮｳﾄｸﾁｲｷｷｮｳｾｲｾﾝﾀｰ,,,,千葉県市川市香取1丁目17-18,千葉県,市川市,香取1丁目,17-18,,35.68226973,139.9032718,,,1階玄関,(047)357-1104,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,,,,,,
122033,,市川市,塩焼小学校,ｼｵﾔｷｼｮｳｶﾞｯｺｳ,,,,千葉県市川市塩焼5丁目9-8,千葉県,市川市,塩焼5丁目,9月8日,,35.68402829,139.9302299,,,事務室前,(047)397-1231,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,,,,,,
122033,,市川市,市川市東消防署高谷出張所,ｲﾁｶﾜｼﾋｶﾞｼｼｮｳﾎﾞｳｼｮｺｳﾔｼｭｯﾁｮｳｼｮ,,,,千葉県市川市高谷2023-10,千葉県,市川市,高谷,Oct-23,,35.68502068,139.9496456,,,1階受付,(047)327-0119,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,,,,,,
122033,,市川市,塩焼幼稚園,ｼｵﾔｷﾖｳﾁｴﾝ,,,,千葉県市川市塩焼5丁目9-1,千葉県,市川市,塩焼5丁目,9月1日,,35.68490998,139.9297248,,,職員室入口,(047)397-3857,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,,,,,,
122033,,市川市,湊地域ふれあい館,ﾐﾅﾄﾁｲｷﾌﾚｱｲｶﾝ,,,,千葉県市川市湊11-18,千葉県,市川市,湊,11月18日,,35.68504181,139.9101522,,,玄関正面,(047)357-9864,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,,,,,,
122033,,市川市,行徳図書館,ｷﾞｮｳﾄｸﾄｼｮｶﾝ,,,,千葉県市川市末広1丁目1-31,千葉県,市川市,末広1丁目,1月31日,,35.68527961,139.9167271,,,2階入口脇,(047)358-9011,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,,,,,,
122033,,市川市,塩焼第2保育園,ｼｵﾔｸﾀﾞｲﾆﾎｲｸｴﾝ,,,,千葉県市川市塩焼3丁目11-15,千葉県,市川市,塩焼3丁目,11月15日,,35.68534785,139.9245812,,,玄関ホール,(047)395-5176,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,,,,,,
122033,,市川市,行徳支所,ｷﾞｮｳﾄｸｼｼｮ,,,,千葉県市川市末広1丁目1-31,千葉県,市川市,末広1丁目,1月31日,,35.68571235,139.9163707,,,公民館入口,(047)359-1114,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,,,,,,
122033,,市川市,行徳文化ﾎ-ﾙI&I,ｷﾞｮｳﾄｸﾌﾞﾝｶﾎ-ﾙｱｲｱﾝﾄﾞｱｲ,,,,千葉県市川市末広1丁目1-48,千葉県,市川市,末広1丁目,1-48,,35.68612101,139.9165716,,,1階ﾛﾋﾞ-,(047)701-3011,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,,,,,,
122033,,市川市,第七中学校,ﾀﾞｲﾅﾅﾁｭｳｶﾞｯｺｳ,,,,千葉県市川市末広1丁目1-48,千葉県,市川市,末広1丁目,1-48,,35.68651524,139.9172473,,,来客者用玄関,(047)357-3183,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,,,,,,
122033,,市川市,妙典中学校,ﾐｮｳﾃﾞﾝﾁｭｳｶﾞｯｺｳ,,,,千葉県市川市妙典5丁目22-1,千葉県,市川市,妙典5丁目,1月22日,,35.68811628,139.9337075,,,職員室前,(047)395-5811,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,,,,,,
122033,,市川市,塩焼保育園,ｼｵﾔｷﾎｲｸｴﾝ,,,,千葉県市川市塩焼2丁目2-5,千葉県,市川市,塩焼2丁目,2月5日,,35.68829506,139.9265158,,,玄関ホール,(047)396-0169,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,,,,,,
122033,,市川市,ｸﾘ-ﾝｾﾝﾀ-,ｸﾘ-ﾝｾﾝﾀ-,,,,千葉県市川市田尻1003,千葉県,市川市,田尻,1003,,35.6882975,139.942846,,,中央制御室内,(047)327-0288,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,,,,,,
122033,,市川市,行徳地域ふれあい館,ｷﾞｮｳﾄｸﾁｲｷﾌﾚｱｲｶﾝ,,,,千葉県市川市富浜2丁目5-19,千葉県,市川市,富浜2丁目,5月19日,,35.68884855,139.9216715,,,玄関正面,(047)357-3276,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,,,,,,
122033,,市川市,行徳小学校,ｷﾞｮｳﾄｸｼｮｳｶﾞｯｺｳ,,,,千葉県市川市富浜1丁目1-40,千葉県,市川市,富浜1丁目,1-40,,35.69279817,139.9237401,,,職員玄関,(047)357-3116,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,,,,,,
122033,,市川市,市川市南消防署行徳出張所,ｲﾁｶﾜｼﾐﾅﾐｼｮｳﾎﾞｳｼｮｷﾞｮｳﾄｸｼｭｯﾁｮｳｼﾞｮ,,,,千葉県市川市本行徳12-10,千葉県,市川市,本行徳,12月10日,,35.6942926,139.9181406,,,1階受付,(047)356-0119,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,,,,,,
122033,,市川市,本行徳公民館,ﾎﾝｷﾞｮｳﾄｸｺｳﾐﾝｶﾝ,,,,千葉県市川市本行徳12-8,千葉県,市川市,本行徳,12月8日,,35.69454942,139.9182866,,,1階ｴﾚﾍﾞ-ﾀ-横,(047)359-1351,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,,,,,,
122033,,市川市,高谷中学校,ｺｳﾔﾁｭｳｶﾞｯｺｳ,,,,千葉県市川市高谷1627-4,千葉県,市川市,高谷,1627-4,,35.6947412,139.9453145,,,職員室前,(047)328-0211,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,,,,,,
122033,,市川市,妙典小学校,ﾐｮｳﾃﾞﾝｼｮｳｶﾞｯｺｳ,,,,千葉県市川市妙典2丁目14-2,千葉県,市川市,妙典2丁目,2月14日,,35.69616519,139.9298327,,,江戸川側（ピンクドア）玄関脇,(047)399-5891,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,,,,,,
122033,,市川市,身体障がい者福祉ｾﾝﾀ-,ｼﾝﾀｲｼｮｳｶﾞｲｼｬﾌｸｼｾﾝﾀ-,,,,千葉県市川市本行徳1-5,千葉県,市川市,本行徳,1月5日,,35.6962148,139.9193014,,,事務室カウンター,(047)357-9165,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,,,,,,
122033,,市川市,二俣小学校,ﾌﾀﾏﾀｼｮｳｶﾞｯｺｳ,,,,千葉県市川市二俣678,千葉県,市川市,二俣,678,,35.69696469,139.9566022,,,玄関正面,(047)328-0105,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,,,,,,
122033,,市川市,信篤小学校,ｼﾝﾄｸｼｮｳｶﾞｯｺｳ,,,,千葉県市川市原木2丁目16-1,千葉県,市川市,原木2丁目,1月16日,,35.69815584,139.9437047,,,職員室前,(047)328-0165,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,,,,,,
122033,,市川市,信篤市民体育館,ｼﾝﾄｸｼﾐﾝﾀｲｸｶﾝ,,,,千葉県市川市高谷1丁目8-2,千葉県,市川市,高谷1丁目,8月2日,,35.70169648,139.9422535,,,正面玄関,(047)327-6336,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,,,,,,
122033,,市川市,信篤公民館,ｼﾝﾄｸｺｳﾐﾝｶﾝ,,,,千葉県市川市高谷1丁目8-1,千葉県,市川市,高谷1丁目,8月1日,,35.70171451,139.9418168,,,公民館事務室,(047)327-6807,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,,,,,,
122033,,市川市,いきいきｾﾝﾀ-田尻,ｲｷｲｷｾﾝﾀ-ﾀｼﾞﾘ,,,,千葉県市川市田尻4丁目13-3,千葉県,市川市,田尻4丁目,3月13日,,35.70332935,139.9344241,,,1階玄関,(047)379-8631,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,,,,,,
122033,,市川市,第六中学校,ﾀﾞｲﾛｸﾁｭｳｶﾞｯｺｳ,,,,千葉県市川市鬼高3丁目16-1,千葉県,市川市,鬼高3丁目,1月16日,,35.71085001,139.9360018,,,職員室前,(047)370-0535,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,,,,,,
122033,,市川市,こども発達ｾﾝﾀ-分館,ｺﾄﾞﾓﾊｯﾀﾂｾﾝﾀ-ﾌﾞﾝｶﾝ,,,,千葉県市川市稲荷木1丁目14-1,千葉県,市川市,稲荷木1丁目,1月14日,,35.71183109,139.9208549,,,玄関ロビー,(047)712-6555,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,,,,,,
122033,,市川市,鬼高保育園,ｵﾆﾀｶﾎｲｸｴﾝ,,,,千葉県市川市鬼高1丁目11-20,千葉県,市川市,鬼高1丁目,11月20日,,35.71149149,139.932224,,,事務室,(047)378-8186,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,,,,,,
122033,,市川市,稲荷木保育園,ﾄｳｶｷﾞﾎｲｸｴﾝ,,,,千葉県市川市稲荷木1丁目26-16,千葉県,市川市,稲荷木1丁目,26-16,,35.71168472,139.9246435,,,事務室,(047)377-5070,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,,,,,,
122033,,市川市,稲荷木小学校,ﾄｳｶｷﾞｼｮｳｶﾞｯｺｳ,,,,千葉県市川市稲荷木1丁目14-1,千葉県,市川市,稲荷木1丁目,1月14日,,35.71159763,139.9217963,,,職員玄関,(047)376-5961,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,,,,,,
122033,,市川市,鬼高公民館,ｵﾆﾀｶｺｳﾐﾝｶﾝ,,,,千葉県市川市鬼高2丁目12-23,千葉県,市川市,鬼高2丁目,12月23日,,35.7132421,139.9388062,,,事務室横,(047)334-2612,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,,,,,,
122033,,市川市,勤労福祉ｾﾝﾀ-,ｷﾝﾛｳﾌｸｼｾﾝﾀ-,,,,千葉県市川市南八幡2丁目20-1,千葉県,市川市,南八幡2丁目,1月20日,,35.71375603,139.9273655,,,玄関正面横,(047)370-5201,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,,,,,,
122033,,市川市,鬼高小学校,ｵﾆﾀｶｼｮｳｶﾞｯｺｳ,,,,千葉県市川市鬼高2丁目13-5,千葉県,市川市,鬼高2丁目,5月13日,,35.7139329,139.9376006,,,職員室前,(047)335-0304,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,,,,,,
122033,,市川市,生涯学習ｾﾝﾀ- ﾒﾃﾞィｱﾊﾟ-ｸ市川,ｼｮｳｶﾞｲｶﾞｸｼｭｳｾﾝﾀ-ﾒﾃﾞｨｱﾊﾟ-ｸｲﾁｶﾜ,,,,千葉県市川市鬼高1丁目1-4,千葉県,市川市,鬼高1丁目,1月4日,,35.71565347,139.932073,,,教育ｾﾝﾀ-受付･生涯学習センター1階ロビー,(047)320-3335,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,,,,,,
122033,,市川市,鬼越・鬼高地域ふれあい館,ｵﾆｺﾞｴｵﾆﾀｶﾁｲｷﾌﾚｱｲｶﾝ,,,,千葉県市川市鬼越2丁目15-10,千葉県,市川市,鬼越2丁目,10月15日,,35.71650735,139.9381205,,,玄関正面,(047)335-9838,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,,,,,,
122033,,市川市,文化会館,ﾌﾞﾝｶｶｲｶﾝ,,,,千葉県市川市大和田1丁目1-5,千葉県,市川市,大和田1丁目,1月5日,,35.7168087,139.9210079,,,事務室・大ホール楽屋通路,(047)379-5111,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,,,,,,
122033,,市川市,中山窓口連絡所,ﾅｶﾔﾏﾏﾄﾞｸﾞﾁﾚﾝﾗｸｼﾞｮ,,,,千葉県市川市中山4丁目14-1,千葉県,市川市,中山4丁目,1月14日,,35.71727681,139.9459231,,,1階執務室内,(047)332-6661,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,,,,,,
122033,,市川市,清華園,ｾｲｶｴﾝ,,,,千葉県市川市中山4丁目14-1,千葉県,市川市,中山4丁目,1月14日,,35.71719924,139.9459885,,,正面玄関脇,(047)333-6147,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,,,,,,
122033,,市川市,大和田小学校,ｵｵﾜﾀﾞｼｮｳｶﾞｯｺｳ,,,,千葉県市川市大和田1丁目1-3,千葉県,市川市,大和田1丁目,1月3日,,35.71766999,139.9216572,,,職員室前,(047)378-5001,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,,,,,,
122033,,市川市,保健ｾﾝﾀ-,ﾎｹﾝｾﾝﾀ-,,,,千葉県市川市南八幡4丁目18-8,千葉県,市川市,南八幡4丁目,8月18日,,35.71741023,139.9239765,,,玄関（風除室）,(047)377-4511,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,,,,,,
122033,,市川市,市川市西消防署大洲出張所,ｲﾁｶﾜｼﾆｼﾞｼｼｮｳﾎﾞｳｼｮｵｵｽｼｭｯﾁｮｳｼﾞｮ,,,,千葉県市川市大洲1丁目18-1,千葉県,市川市,大洲1丁目,1月18日,,35.71785499,139.9108748,,,1階受付,(047)376-0119,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,,,,,,
122033,,市川市,鶴指小学校,ﾂﾙｻｼｼｮｳｶﾞｯｺｳ,,,,千葉県市川市大和田4丁目11-1,千葉県,市川市,大和田4丁目,11月1日,,35.71813496,139.9157266,,,職員室前,(047)379-3588,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,,,,,,
122033,,市川市,急病診療所,ｷｭｳﾋﾞｮｳｼﾝﾘｮｳｼｮ,,,,千葉県市川市大洲1丁目18-1,千葉県,市川市,大洲1丁目,1月18日,,35.71802366,139.9109634,,,1階受付,(047)377-1222,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,,,,,,
